id,year,course name,status
2783074,4,political science,allowed
2783091,4,aih,not allowed
2783103,4,philosophy,allowed
2783106,4,bengali,allowed
2783116,1,hindi,allowed
2783117,2,hindi,allowed
2783130,4,commerce,not allowed
2783149,4,chemistry,allowed
2783191,1,computer application,allowed
2783192,2,computer application,allowed
2783193,3,computer application,allowed
2783220,1,commerce,allowed
2783221,2,commerce,allowed
2783224,1,economics,allowed
2783225,2,economics,allowed
2783236,1,professional  accounting,not allowed
2783237,2,professional  accounting,not allowed
2783238,3,professional  accounting,not allowed
2783252,1,computer applications,allowed
2783253,2,computer applications,allowed
2783254,3,computer applications,allowed
2783267,4,physics,allowed
2783297,1,computer applications,allowed
2783298,2,computer applications,allowed
2783299,3,computer applications,allowed
2783303,1,mathematics,allowed
2783304,2,mathematics,allowed
2783316,1,computer science,allowed
2783317,2,computer science,allowed
2781420,2,engineering & technology,allowed
2781436,2,engineering & technology,allowed
2781419,1,engineering & technology,allowed
2781422,4,engineering & technology,allowed
2781435,1,engineering & technology,allowed
2781421,3,engineering & technology,allowed
2783366,1,electronics & communication engg,allowed
2783367,2,electronics & communication engg,allowed
2783370,1,electronics & communication engg,allowed
2783371,2,electronics & communication engg,allowed
2783372,3,electronics & communication engg,allowed
2783373,4,electronics & communication engg,allowed
2783376,1,computer science and engineering,allowed
2783377,2,computer science and engineering,allowed
2783378,3,computer science and engineering,allowed
2783379,4,computer science and engineering,allowed
2783382,1,civil engineering,allowed
2783383,2,civil engineering,allowed
2783384,3,civil engineering,allowed
2783385,4,civil engineering,allowed
2783398,1,electronics & communication engg,allowed
2783399,2,electronics & communication engg,allowed
2783400,3,electronics & communication engg,allowed
2783401,1,electrical engineering,allowed
2783402,2,electrical engineering,allowed
2783403,3,electrical engineering,allowed
2783421,1,cbz,allowed
2783422,2,cbz,allowed
2783423,3,cbz,allowed
2783495,1,electrical,allowed
2783496,2,electrical,allowed
2783497,3,electrical,allowed
2783515,1,arts,allowed
2783516,2,arts,allowed
2783517,3,arts,allowed
2783587,1,computer engg with specialization in cloud computing.,not allowed
2783588,2,computer engg with specialization in cloud computing.,not allowed
2783589,3,computer engg with specialization in cloud computing.,not allowed
2783590,4,computer engg with specialization in cloud computing.,not allowed
2783625,1,electronics & communication engg.  with specialization in  vlsi design & embedded systems,not allowed
2783626,2,electronics & communication engg.  with specialization in  vlsi design & embedded systems,not allowed
2783637,1,bio technology,not allowed
2783638,2,bio technology,not allowed
2783664,1,information technology,not allowed
2783665,2,information technology,allowed
2783666,3,information technology,allowed
2783674,1,english,allowed
2783675,2,english,allowed
2783676,3,english,allowed
2783683,1,nutrition & dietetics,not allowed
2783684,2,nutrition & dietetics,not allowed
2783690,1,physiotherapy,allowed
2783691,2,physiotherapy,allowed
2783708,1,biotechnology,allowed
2783709,2,biotechnology,allowed
2783710,3,biotechnology,allowed
2783711,4,biotechnology,allowed
2783763,1,arts,allowed
2783764,2,arts,allowed
2783765,3,arts,allowed
2783766,1,arts,allowed
2783767,2,arts,allowed
2783768,3,arts,allowed
2783801,1,arts,allowed
2783802,2,arts,allowed
2783803,3,arts,allowed
2783804,1,science,allowed
2783805,2,science,allowed
2783806,3,science,allowed
2783831,1,science,allowed
2783832,2,science,allowed
2783895,1,(biotechnology)),not allowed
